acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.367,https://api.spotify.com/v1/audio-analysis/3lh3iiiJeiBXHSZw6u0kh6,0.608,205613,0.524,3lh3iiiJeiBXHSZw6u0kh6,0.00254,8,0.115,-10.266,1,0.0309,0,86.204,4,https://api.spotify.com/v1/tracks/3lh3iiiJeiBXHSZw6u0kh6,audio_features,spotify:track:3lh3iiiJeiBXHSZw6u0kh6,0.797
0.241,https://api.spotify.com/v1/audio-analysis/2lmMt4SRDXDma6QkJUox0D,0.531,187227,0.52,2lmMt4SRDXDma6QkJUox0D,0.0,0,0.0922,-4.5,1,0.048,0,70.031,4,https://api.spotify.com/v1/tracks/2lmMt4SRDXDma6QkJUox0D,audio_features,spotify:track:2lmMt4SRDXDma6QkJUox0D,0.317
0.45,https://api.spotify.com/v1/audio-analysis/0C1TUh7rB2ZEvY1v8omTFP,0.418,250267,0.481,0C1TUh7rB2ZEvY1v8omTFP,4.12e-05,9,0.272,-7.114,0,0.0409,0,140.221,4,https://api.spotify.com/v1/tracks/0C1TUh7rB2ZEvY1v8omTFP,audio_features,spotify:track:0C1TUh7rB2ZEvY1v8omTFP,0.523
0.0989,https://api.spotify.com/v1/audio-analysis/1jo3TwNGCXfNdB5uba3ZVv,0.892,253580,0.651,1jo3TwNGCXfNdB5uba3ZVv,0.0,0,0.371,-8.645,0,0.378,0,105.814,4,https://api.spotify.com/v1/tracks/1jo3TwNGCXfNdB5uba3ZVv,audio_features,spotify:track:1jo3TwNGCXfNdB5uba3ZVv,0.599
0.0312,https://api.spotify.com/v1/audio-analysis/5uDASfU19gDxSjW8cnCaBp,0.886,177184,0.427,5uDASfU19gDxSjW8cnCaBp,0.00099,6,0.0906,-10.028,1,0.145,0,108.034,4,https://api.spotify.com/v1/tracks/5uDASfU19gDxSjW8cnCaBp,audio_features,spotify:track:5uDASfU19gDxSjW8cnCaBp,0.23
0.0317,https://api.spotify.com/v1/audio-analysis/6H0AwSQ20mo62jGlPGB8S6,0.822,210200,0.505,6H0AwSQ20mo62jGlPGB8S6,0.000911,7,0.114,-7.384,1,0.147,0,73.003,4,https://api.spotify.com/v1/tracks/6H0AwSQ20mo62jGlPGB8S6,audio_features,spotify:track:6H0AwSQ20mo62jGlPGB8S6,0.523
0.00767,https://api.spotify.com/v1/audio-analysis/1wHZx0LgzFHyeIZkUydNXq,0.713,262693,0.526,1wHZx0LgzFHyeIZkUydNXq,0.000148,1,0.124,-5.046,1,0.032,0,131.05,4,https://api.spotify.com/v1/tracks/1wHZx0LgzFHyeIZkUydNXq,audio_features,spotify:track:1wHZx0LgzFHyeIZkUydNXq,0.131
0.00257,https://api.spotify.com/v1/audio-analysis/6nmz4imkDcmtwMjocAzFSx,0.896,267024,0.623,6nmz4imkDcmtwMjocAzFSx,0.000258,2,0.039,-8.008,1,0.0571,0,134.962,4,https://api.spotify.com/v1/tracks/6nmz4imkDcmtwMjocAzFSx,audio_features,spotify:track:6nmz4imkDcmtwMjocAzFSx,0.585
0.0279,https://api.spotify.com/v1/audio-analysis/2qnLAojngWBcNikCTydlUY,0.398,316067,0.636,2qnLAojngWBcNikCTydlUY,0.000178,7,0.437,-4.652,0,0.0525,0,179.83,3,https://api.spotify.com/v1/tracks/2qnLAojngWBcNikCTydlUY,audio_features,spotify:track:2qnLAojngWBcNikCTydlUY,0.524
0.838,https://api.spotify.com/v1/audio-analysis/7pQAORQOfDTGLvWNr6f5k6,0.761,222947,0.411,7pQAORQOfDTGLvWNr6f5k6,4.9e-05,0,0.152,-9.1,0,0.0316,0,110.973,4,https://api.spotify.com/v1/tracks/7pQAORQOfDTGLvWNr6f5k6,audio_features,spotify:track:7pQAORQOfDTGLvWNr6f5k6,0.684
0.179,https://api.spotify.com/v1/audio-analysis/3rLOm2SQCINbijomBhlE7x,0.289,201107,0.606,3rLOm2SQCINbijomBhlE7x,0.0,11,0.175,-5.04,0,0.0467,0,215.894,3,https://api.spotify.com/v1/tracks/3rLOm2SQCINbijomBhlE7x,audio_features,spotify:track:3rLOm2SQCINbijomBhlE7x,0.55
0.203,https://api.spotify.com/v1/audio-analysis/4yaGCfm3UoHSmnJxk5E2yC,0.308,303213,0.455,4yaGCfm3UoHSmnJxk5E2yC,1.57e-06,7,0.114,-9.464,1,0.0348,0,184.999,3,https://api.spotify.com/v1/tracks/4yaGCfm3UoHSmnJxk5E2yC,audio_features,spotify:track:4yaGCfm3UoHSmnJxk5E2yC,0.472
0.344,https://api.spotify.com/v1/audio-analysis/4t725F1sMm6FzZsTuq3Yqw,0.696,221459,0.729,4t725F1sMm6FzZsTuq3Yqw,0.0125,5,0.0888,-6.078,0,0.0417,0,119.977,4,https://api.spotify.com/v1/tracks/4t725F1sMm6FzZsTuq3Yqw,audio_features,spotify:track:4t725F1sMm6FzZsTuq3Yqw,0.788
0.00362,https://api.spotify.com/v1/audio-analysis/6mL0dsyXI9o4bIXqXgvraL,0.49,300267,0.789,6mL0dsyXI9o4bIXqXgvraL,0.0,11,0.15,-5.611,1,0.0299,0,91.998,4,https://api.spotify.com/v1/tracks/6mL0dsyXI9o4bIXqXgvraL,audio_features,spotify:track:6mL0dsyXI9o4bIXqXgvraL,0.246
0.814,https://api.spotify.com/v1/audio-analysis/4JD7asMlbKOVUBsa8EPpbD,0.277,232000,0.249,4JD7asMlbKOVUBsa8EPpbD,0.0,9,0.223,-13.594,1,0.0315,0,138.5,3,https://api.spotify.com/v1/tracks/4JD7asMlbKOVUBsa8EPpbD,audio_features,spotify:track:4JD7asMlbKOVUBsa8EPpbD,0.337
0.00249,https://api.spotify.com/v1/audio-analysis/2lEcPIajEa7SjKiyvfnj3K,0.401,265130,0.747,2lEcPIajEa7SjKiyvfnj3K,1.36e-06,1,0.112,-7.527,1,0.0374,0,77.268,4,https://api.spotify.com/v1/tracks/2lEcPIajEa7SjKiyvfnj3K,audio_features,spotify:track:2lEcPIajEa7SjKiyvfnj3K,0.495
0.371,https://api.spotify.com/v1/audio-analysis/3BDpn2Vivr1BFhlGsYs5tp,0.303,491691,0.478,3BDpn2Vivr1BFhlGsYs5tp,0.0,7,0.131,-7.851,1,0.0352,0,139.795,4,https://api.spotify.com/v1/tracks/3BDpn2Vivr1BFhlGsYs5tp,audio_features,spotify:track:3BDpn2Vivr1BFhlGsYs5tp,0.117
0.00274,https://api.spotify.com/v1/audio-analysis/1lEk3U3MzbDeL5MNHkE9JU,0.256,349587,0.564,1lEk3U3MzbDeL5MNHkE9JU,0.0,11,0.743,-6.496,1,0.0366,0,139.914,3,https://api.spotify.com/v1/tracks/1lEk3U3MzbDeL5MNHkE9JU,audio_features,spotify:track:1lEk3U3MzbDeL5MNHkE9JU,0.152
0.118,https://api.spotify.com/v1/audio-analysis/73thBYypIRDkDz9Fw1kgCN,0.426,248760,0.829,73thBYypIRDkDz9Fw1kgCN,0.0,0,0.137,-4.075,1,0.0334,0,144.834,4,https://api.spotify.com/v1/tracks/73thBYypIRDkDz9Fw1kgCN,audio_features,spotify:track:73thBYypIRDkDz9Fw1kgCN,0.524
0.385,https://api.spotify.com/v1/audio-analysis/0BCy325UZyR9z0t0uxwn2N,0.525,194187,0.685,0BCy325UZyR9z0t0uxwn2N,0.0,7,0.0731,-3.954,0,0.0351,0,78.003,4,https://api.spotify.com/v1/tracks/0BCy325UZyR9z0t0uxwn2N,audio_features,spotify:track:0BCy325UZyR9z0t0uxwn2N,0.54
0.0365,https://api.spotify.com/v1/audio-analysis/3dgQqOiQ9fCKVhNOedd2lf,0.792,174120,0.523,3dgQqOiQ9fCKVhNOedd2lf,0.0,8,0.161,-7.856,1,0.196,0,86.311,4,https://api.spotify.com/v1/tracks/3dgQqOiQ9fCKVhNOedd2lf,audio_features,spotify:track:3dgQqOiQ9fCKVhNOedd2lf,0.545
0.256,https://api.spotify.com/v1/audio-analysis/5fX2oPyLCe5mBKqGDbOWqC,0.68,216373,0.446,5fX2oPyLCe5mBKqGDbOWqC,0.0,7,0.0515,-6.039,1,0.0281,0,125.863,4,https://api.spotify.com/v1/tracks/5fX2oPyLCe5mBKqGDbOWqC,audio_features,spotify:track:5fX2oPyLCe5mBKqGDbOWqC,0.339
0.0847,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,0.841,243837,0.728,6gBFPUFcJLzWGx4lenP6h2,0.0,7,0.149,-3.37,1,0.0484,0,130.049,4,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,audio_features,spotify:track:6gBFPUFcJLzWGx4lenP6h2,0.43
