acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.00554,https://api.spotify.com/v1/audio-analysis/6GZDlgmOnAqHqVHVCJ7HnT,0.552,219413,0.902,6GZDlgmOnAqHqVHVCJ7HnT,0.0,0,0.18,-4.561,1,0.0407,1,132.016,4,https://api.spotify.com/v1/tracks/6GZDlgmOnAqHqVHVCJ7HnT,audio_features,spotify:track:6GZDlgmOnAqHqVHVCJ7HnT,0.388
0.236,https://api.spotify.com/v1/audio-analysis/2lnzGkdtDj5mtlcOW2yRtG,0.793,196160,0.832,2lnzGkdtDj5mtlcOW2yRtG,1.12e-05,1,0.202,-4.862,0,0.0406,1,107.661,4,https://api.spotify.com/v1/tracks/2lnzGkdtDj5mtlcOW2yRtG,audio_features,spotify:track:2lnzGkdtDj5mtlcOW2yRtG,0.872
0.000276,https://api.spotify.com/v1/audio-analysis/1iqJHfr78z0aOuo6MCstnk,0.44,287960,0.865,1iqJHfr78z0aOuo6MCstnk,0.0948,8,0.0829,-5.243,0,0.0337,1,79.951,4,https://api.spotify.com/v1/tracks/1iqJHfr78z0aOuo6MCstnk,audio_features,spotify:track:1iqJHfr78z0aOuo6MCstnk,0.488
0.000278,https://api.spotify.com/v1/audio-analysis/1ndZwoW05Jdcej9NyHKyOC,0.455,203547,0.928,1ndZwoW05Jdcej9NyHKyOC,0.564,1,0.542,-4.896,1,0.0501,1,143.057,4,https://api.spotify.com/v1/tracks/1ndZwoW05Jdcej9NyHKyOC,audio_features,spotify:track:1ndZwoW05Jdcej9NyHKyOC,0.666
0.0513,https://api.spotify.com/v1/audio-analysis/1pKeFVVUOPjFsOABub0OaV,0.65,226160,0.736,1pKeFVVUOPjFsOABub0OaV,0.0,6,0.235,-5.84,0,0.229,1,159.174,4,https://api.spotify.com/v1/tracks/1pKeFVVUOPjFsOABub0OaV,audio_features,spotify:track:1pKeFVVUOPjFsOABub0OaV,0.612
0.0398,https://api.spotify.com/v1/audio-analysis/2XMTqoHHSH0lvuXrvIEdco,0.683,237707,0.708,2XMTqoHHSH0lvuXrvIEdco,0.155,5,0.686,-6.244,0,0.0305,1,92.991,4,https://api.spotify.com/v1/tracks/2XMTqoHHSH0lvuXrvIEdco,audio_features,spotify:track:2XMTqoHHSH0lvuXrvIEdco,0.355
0.0146,https://api.spotify.com/v1/audio-analysis/0LGYNrfNABeZSZVzQMLKvZ,0.526,314758,0.817,0LGYNrfNABeZSZVzQMLKvZ,0.0,9,0.498,-6.41,0,0.225,1,141.456,4,https://api.spotify.com/v1/tracks/0LGYNrfNABeZSZVzQMLKvZ,audio_features,spotify:track:0LGYNrfNABeZSZVzQMLKvZ,0.508
0.104,https://api.spotify.com/v1/audio-analysis/3HMuXylWiUmZ6nlIU3eOJ6,0.69,212305,0.688,3HMuXylWiUmZ6nlIU3eOJ6,0.0,8,0.0948,-4.817,0,0.0374,1,122.048,4,https://api.spotify.com/v1/tracks/3HMuXylWiUmZ6nlIU3eOJ6,audio_features,spotify:track:3HMuXylWiUmZ6nlIU3eOJ6,0.269
0.389,https://api.spotify.com/v1/audio-analysis/5wQRNkb7OhzJoT1P0OZ4Rw,0.672,221333,0.386,5wQRNkb7OhzJoT1P0OZ4Rw,0.0,0,0.0838,-9.715,1,0.264,1,90.082,4,https://api.spotify.com/v1/tracks/5wQRNkb7OhzJoT1P0OZ4Rw,audio_features,spotify:track:5wQRNkb7OhzJoT1P0OZ4Rw,0.529
0.00197,https://api.spotify.com/v1/audio-analysis/16s0TT9GxYo78ln1iHZLS1,0.761,245854,0.858,16s0TT9GxYo78ln1iHZLS1,3.03e-05,11,0.063,-6.104,0,0.0556,1,122.995,4,https://api.spotify.com/v1/tracks/16s0TT9GxYo78ln1iHZLS1,audio_features,spotify:track:16s0TT9GxYo78ln1iHZLS1,0.545
0.0631,https://api.spotify.com/v1/audio-analysis/6yIdwnpDHufLWgQcveTPMk,0.735,245200,0.451,6yIdwnpDHufLWgQcveTPMk,1.3e-05,0,0.325,-8.374,1,0.0585,1,117.973,4,https://api.spotify.com/v1/tracks/6yIdwnpDHufLWgQcveTPMk,audio_features,spotify:track:6yIdwnpDHufLWgQcveTPMk,0.0862
